               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.023005,           0.0066859,                   0,             0.91051,             0.92405,             0.95445,              0.7511,            0.020016,           0.0042941,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.023813,           0.0067788,                   0,             0.93556,             0.91891,             0.95963,             0.78188,            0.018871,           0.0044452,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.020778,           0.0071192,                   0,             0.89301,             0.95085,             0.96182,             0.78217,            0.019263,           0.0041581,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.022148,           0.0062629,                   0,             0.92836,             0.92405,             0.94582,             0.70752,            0.021333,             0.00456,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.024426,           0.0081001,                   0,             0.92281,             0.94937,             0.96192,             0.80186,            0.016791,           0.0041286,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.021422,           0.0071337,                   0,             0.92962,             0.93671,             0.96229,             0.77655,            0.018343,           0.0042034,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.024327,           0.0062785,                   0,             0.93554,             0.91862,             0.96584,             0.75787,            0.019311,           0.0041981,                   0,            0.008581,            0.008581,            0.008581
                  45,              0.0223,           0.0065373,                   0,             0.91554,             0.96047,             0.96057,              0.7594,            0.019152,           0.0040817,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.023876,           0.0063263,                   0,             0.90487,             0.96321,              0.9523,             0.77123,            0.019935,           0.0040775,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.023589,           0.0062619,                   0,             0.92614,             0.97468,             0.96285,             0.79026,            0.017765,             0.00407,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.022078,           0.0059946,                   0,             0.93803,             0.95803,             0.96545,             0.77591,            0.017556,           0.0040554,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.020116,           0.0060173,                   0,             0.93189,             0.96203,             0.95983,             0.77675,             0.01804,           0.0042261,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.022081,           0.0061028,                   0,             0.91489,             0.96203,             0.93947,             0.77585,            0.016837,           0.0043504,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.020494,            0.005937,                   0,             0.90056,             0.94937,             0.93026,             0.75402,            0.016974,           0.0041972,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.021679,            0.005572,                   0,             0.91076,             0.94937,             0.94033,             0.77411,            0.017522,           0.0046113,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.022346,           0.0065426,                   0,             0.95127,             0.93671,             0.95565,             0.78988,            0.017046,           0.0043101,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.019695,            0.006077,                   0,             0.95245,             0.94937,             0.96089,             0.79588,            0.017323,           0.0041294,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.020122,           0.0062022,                   0,             0.94172,             0.92405,             0.94453,             0.78073,            0.017489,           0.0042089,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.020048,            0.005983,                   0,             0.93747,             0.94886,             0.94093,             0.75927,            0.017819,           0.0043882,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.021037,           0.0061552,                   0,             0.94555,             0.94937,               0.943,             0.77235,            0.017856,           0.0044378,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.021463,           0.0063973,                   0,             0.94842,             0.94937,             0.93317,             0.76982,            0.017562,           0.0044722,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.019489,           0.0058303,                   0,             0.94903,             0.93671,             0.93586,             0.73232,            0.018956,           0.0044956,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.019447,            0.005665,                   0,             0.90138,             0.93671,             0.94194,             0.75642,            0.016529,           0.0043607,                   0,            0.008053,            0.008053,            0.008053
                  61,             0.02043,           0.0065461,                   0,             0.93344,             0.94937,             0.96477,             0.80312,            0.016601,           0.0040494,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.018653,           0.0059755,                   0,             0.93658,             0.96203,              0.9664,             0.80565,            0.016936,            0.003928,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.019609,           0.0061011,                   0,             0.93692,             0.97468,             0.96603,             0.82155,            0.015817,           0.0038524,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.020357,           0.0056446,                   0,             0.93867,             0.97468,             0.95837,             0.81244,            0.015469,           0.0037056,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.018684,           0.0056718,                   0,             0.93954,             0.98353,             0.95251,             0.79635,            0.016697,           0.0036296,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.019493,           0.0053846,                   0,             0.94177,             0.98734,             0.95089,             0.78434,            0.015422,           0.0037579,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.018233,           0.0061508,                   0,             0.93819,             0.96061,             0.95947,             0.80867,            0.015149,           0.0039625,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.016443,            0.005346,                   0,             0.94994,             0.96088,             0.96761,             0.83184,            0.014692,           0.0036915,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.017716,           0.0055876,                   0,             0.97391,             0.94505,             0.96746,             0.82513,            0.014777,           0.0038625,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.018085,           0.0055321,                   0,             0.94952,             0.96203,             0.95864,             0.81035,            0.015663,           0.0038345,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.018132,           0.0059388,                   0,             0.93484,             0.96203,             0.94603,             0.82061,            0.015057,            0.003977,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.021018,           0.0069439,                   0,             0.92226,             0.96203,             0.94631,             0.77992,            0.015362,           0.0038671,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.016791,            0.005548,                   0,             0.92568,             0.94597,             0.95565,             0.82723,            0.014323,           0.0038338,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.016022,           0.0058629,                   0,             0.91475,             0.95085,             0.96068,             0.81481,             0.01474,           0.0044174,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.018096,           0.0059417,                   0,             0.91316,             0.97468,             0.94717,             0.80352,            0.015139,           0.0039891,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.017206,           0.0056572,                   0,             0.93554,             0.96203,              0.9526,             0.81974,            0.015948,            0.003964,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.016558,           0.0055518,                   0,             0.93723,             0.96203,             0.96457,             0.81005,            0.016389,           0.0037757,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.017422,           0.0052422,                   0,             0.94822,             0.92726,             0.96709,             0.83024,            0.015684,           0.0038084,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.018932,           0.0054486,                   0,             0.96407,             0.94937,             0.96785,             0.84373,            0.015527,           0.0040004,                   0,            0.007426,            0.007426,            0.007426
                  80,             0.01687,           0.0053363,                   0,               0.938,             0.95759,             0.95951,             0.82241,             0.01529,           0.0040552,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.016703,           0.0050813,                   0,             0.94651,             0.93671,             0.95982,             0.83895,            0.014435,           0.0040236,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.016762,           0.0053401,                   0,             0.96786,             0.93671,             0.95732,             0.82791,            0.015068,           0.0038855,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.017308,           0.0053131,                   0,             0.98515,             0.92405,             0.95702,             0.83823,            0.016021,           0.0038815,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.019794,           0.0056898,                   0,             0.94447,             0.94937,             0.96173,             0.82215,            0.016593,           0.0040445,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.017423,            0.005625,                   0,             0.92735,             0.94937,             0.95856,             0.82759,             0.01654,            0.003964,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.017298,           0.0056108,                   0,             0.96566,             0.92405,             0.96528,             0.81588,            0.016145,           0.0038491,                   0,            0.007195,            0.007195,            0.007195
                  87,             0.01632,           0.0059911,                   0,             0.96974,             0.93671,             0.96663,              0.8227,            0.015333,           0.0038955,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.017674,           0.0053998,                   0,             0.93644,             0.96203,             0.96649,             0.83542,            0.015883,             0.00385,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.016262,           0.0060368,                   0,             0.95559,             0.91139,             0.96792,             0.82655,            0.016611,            0.003748,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.016856,           0.0054751,                   0,             0.92252,             0.96203,             0.95457,              0.7968,            0.016732,           0.0039604,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.016316,           0.0052111,                   0,             0.92579,             0.94752,             0.96417,             0.82341,            0.016426,           0.0041042,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.015801,           0.0051083,                   0,             0.93761,             0.95111,             0.95939,             0.81993,            0.015965,           0.0042413,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.015687,           0.0059813,                   0,             0.90453,             0.95942,             0.95798,             0.82334,            0.015471,           0.0039051,                   0,            0.006964,            0.006964,            0.006964
                  94,            0.016083,           0.0054641,                   0,             0.91458,             0.94875,             0.96497,             0.82146,            0.015063,           0.0036698,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.014461,           0.0048608,                   0,             0.94122,             0.92405,             0.96182,             0.83703,            0.014651,           0.0038115,                   0,            0.006898,            0.006898,            0.006898
