               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.024871,           0.0070047,                   0,             0.95984,             0.90758,             0.95078,             0.67726,            0.024509,           0.0043267,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.026042,           0.0067076,                   0,             0.92277,             0.94937,             0.95812,             0.72271,            0.020937,             0.00433,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.025385,           0.0073981,                   0,             0.92652,             0.97468,             0.96022,             0.77133,            0.017802,           0.0038799,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.023453,           0.0066239,                   0,             0.95647,             0.91139,             0.96369,             0.70827,            0.020379,           0.0039391,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.025692,           0.0077379,                   0,             0.92325,             0.94937,             0.95309,               0.753,            0.018397,           0.0042524,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.024653,           0.0070835,                   0,             0.92749,             0.97148,             0.96137,             0.73861,            0.020605,           0.0041896,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.023351,           0.0063757,                   0,             0.94244,             0.93671,              0.9457,             0.74211,            0.018367,            0.004124,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.021193,           0.0063052,                   0,             0.90543,             0.97468,             0.94009,             0.70926,            0.018382,           0.0040554,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.022842,            0.006651,                   0,             0.94996,             0.96115,             0.95492,             0.78555,            0.016799,           0.0040077,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.022761,           0.0062604,                   0,             0.96815,             0.93671,              0.9522,             0.75098,            0.018844,           0.0040621,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.021404,           0.0059425,                   0,             0.93892,             0.93671,             0.95098,             0.79839,            0.017836,           0.0038755,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.020848,           0.0062873,                   0,             0.94676,             0.92405,             0.93261,             0.75505,            0.018263,           0.0040766,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.021687,           0.0063806,                   0,             0.92384,             0.91139,             0.94197,             0.76966,            0.018333,           0.0041189,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.020768,           0.0056108,                   0,             0.93095,             0.93671,             0.94097,             0.79272,            0.016798,           0.0041083,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.020894,           0.0059176,                   0,             0.91508,             0.95485,             0.95014,             0.75259,             0.01827,           0.0041339,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.022746,           0.0060814,                   0,              0.8873,             0.93671,             0.93878,             0.75054,            0.018002,           0.0044025,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.023953,           0.0068758,                   0,             0.88148,             0.96203,             0.92174,             0.75881,             0.01727,           0.0042597,                   0,            0.008251,            0.008251,            0.008251
                  55,             0.01905,           0.0062444,                   0,             0.89642,             0.94937,             0.92356,             0.77459,            0.016603,           0.0040662,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.021069,           0.0058723,                   0,             0.87961,             0.94937,              0.9284,             0.75546,            0.018291,           0.0041353,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.019552,           0.0057782,                   0,             0.92275,             0.94937,             0.93727,              0.7661,             0.01736,           0.0039721,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.019746,           0.0062858,                   0,               0.922,             0.94937,             0.94535,             0.79479,            0.017306,           0.0040229,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.020641,           0.0059154,                   0,             0.95772,             0.94937,             0.95344,             0.81584,            0.015172,           0.0038593,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.018836,            0.005852,                   0,             0.93713,             0.94348,             0.95275,             0.79394,            0.016593,           0.0038722,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.020406,           0.0061343,                   0,             0.94038,             0.93671,             0.94904,             0.72149,            0.019108,           0.0040038,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.020428,           0.0060606,                   0,             0.93713,             0.94937,             0.94892,             0.79139,            0.017962,           0.0037828,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.023253,           0.0061195,                   0,             0.92622,             0.96203,             0.95167,             0.78252,            0.017756,           0.0038866,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.018047,            0.005617,                   0,             0.91486,             0.96203,             0.95115,             0.79641,            0.016028,           0.0038367,                   0,            0.007921,            0.007921,            0.007921
                  65,             0.01837,            0.005116,                   0,             0.93632,             0.93671,             0.95414,             0.81388,             0.01638,           0.0036849,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.018331,           0.0052834,                   0,             0.93871,             0.94937,             0.95557,             0.80069,            0.016612,           0.0037701,                   0,            0.007855,            0.007855,            0.007855
                  67,             0.01931,           0.0060416,                   0,             0.94989,             0.95981,             0.95692,             0.82206,            0.015934,           0.0037563,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.017807,            0.005271,                   0,             0.94755,             0.93671,             0.96268,             0.82982,            0.015733,           0.0036046,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.019772,           0.0058897,                   0,             0.94458,             0.92405,              0.9656,             0.81277,            0.016226,             0.00361,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.018429,            0.005601,                   0,             0.94977,             0.94937,             0.95778,             0.81554,            0.016073,           0.0038443,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.019631,           0.0057676,                   0,              0.9238,             0.97468,             0.96558,             0.81799,            0.016558,           0.0036013,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.017725,           0.0062071,                   0,             0.92823,             0.98734,             0.96918,             0.82667,            0.015889,           0.0034583,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.018926,           0.0055228,                   0,             0.91743,             0.98458,             0.97278,             0.83124,            0.015402,            0.003713,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.019294,           0.0059183,                   0,             0.92258,             0.96203,             0.96768,             0.83773,            0.014915,           0.0039106,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.020297,           0.0058601,                   0,             0.93815,             0.96203,             0.95924,             0.82072,            0.016271,           0.0039202,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.018194,           0.0057782,                   0,             0.91541,             0.95887,             0.95586,             0.81684,            0.016227,           0.0040341,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.017785,           0.0053569,                   0,             0.92101,             0.93671,             0.96766,             0.81066,            0.016167,           0.0041081,                   0,            0.007492,            0.007492,            0.007492
                  78,             0.01858,           0.0054142,                   0,             0.93874,             0.96998,             0.97003,             0.82451,             0.01634,           0.0038751,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.018741,           0.0055468,                   0,             0.91769,             0.98734,             0.96175,             0.81095,            0.017526,           0.0035884,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.017384,           0.0053053,                   0,             0.92356,             0.98734,             0.96445,             0.83114,            0.015438,           0.0036872,                   0,            0.007393,            0.007393,            0.007393
                  81,             0.01696,           0.0050933,                   0,             0.93814,             0.98734,             0.96901,              0.8497,            0.015691,             0.00371,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.017694,           0.0051566,                   0,             0.92193,             0.97468,             0.97233,             0.85115,            0.015887,           0.0037326,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.017087,           0.0053596,                   0,             0.94935,             0.94908,             0.97157,             0.82413,            0.015993,           0.0035529,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.019368,           0.0057214,                   0,             0.93797,             0.95715,             0.96908,             0.83227,            0.015882,           0.0035463,                   0,            0.007261,            0.007261,            0.007261
                  85,             0.01755,           0.0054822,                   0,              0.9028,             0.97468,             0.96551,             0.83198,             0.01603,           0.0035094,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.016959,           0.0052651,                   0,             0.90562,             0.97172,             0.96413,             0.83174,             0.01561,           0.0034968,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.018301,            0.005873,                   0,             0.90341,             0.97468,              0.9582,             0.81387,            0.015919,            0.003749,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.017637,           0.0054288,                   0,             0.91452,             0.97468,              0.9607,             0.82128,            0.015963,           0.0036606,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.017567,           0.0060278,                   0,             0.92593,             0.96203,               0.955,             0.81432,            0.016172,            0.003612,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.018461,           0.0056987,                   0,             0.92761,             0.97321,             0.95381,             0.82954,            0.014897,           0.0035678,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.018282,           0.0052244,                   0,             0.93823,              0.9613,             0.95719,             0.82983,             0.01601,           0.0035946,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.016342,            0.005056,                   0,             0.93818,             0.96059,             0.95544,             0.81541,            0.016285,           0.0037743,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.017901,           0.0058581,                   0,             0.93554,             0.94937,             0.95552,             0.80955,            0.015338,           0.0037993,                   0,            0.006964,            0.006964,            0.006964
                  94,            0.017473,           0.0058336,                   0,             0.94991,             0.96023,             0.95661,             0.81728,            0.015633,           0.0039545,                   0,            0.006931,            0.006931,            0.006931
                  95,             0.01817,           0.0050838,                   0,             0.93587,             0.97468,             0.95587,             0.82733,             0.01582,           0.0038583,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.015527,              0.0051,                   0,             0.91735,              0.9835,             0.95868,              0.8309,             0.01602,            0.003679,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.016335,           0.0054296,                   0,             0.90688,             0.98623,             0.96271,             0.84834,            0.015712,           0.0035658,                   0,            0.006832,            0.006832,            0.006832
